"PVWatts: Hourly PV Performance Data"
"Requested Location:","-37.5310668,143.8158656"
"Location:","BALLARAT AERODROME, AUSTRALIA"
"Lat (deg S):","37.52"
"Long (deg E):","143.78"
"Elev (m):","436"
"DC System Size (kW):","1500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","10"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","13.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"12","7","5","10","58","24.5","5.8","65.085","24.598","83222.383","75686.008"
"12","7","6","44","173","24.6","6.3","191.989","26.952","242314.188","234502.484"
"12","7","7","107","290","24.8","5.7","341.88","30.188","425932","416989.75"
"12","7","8","156","388","24.7","8.4","482.651","31.094","601450.75","590613.688"
"12","7","9","162","474","24.8","10","587.299","31.952","730943.063","718197.938"
"12","7","10","142","544","23.5","11.3","650.504","30.882","814744.375","800533.625"
"12","7","11","124","585","25.4","13.4","680.682","32.345","846794.063","831974.813"
"12","7","12","125","584","25.7","14.7","681.78","32.238","848635.75","833780.688"
"12","7","13","145","541","27.5","17.5","654.107","33.058","810794.75","796657.125"
"12","7","14","168","469","25.9","15.6","594.734","31.323","742918.875","729975.375"
"12","7","15","164","382","25.5","14.9","491.647","30.049","616715.625","605676.125"
"12","7","16","115","286","24.6","12.4","348.497","28.105","439643.656","430582.063"
"12","7","17","48","171","23.3","11.8","191.048","25.011","243814.859","235997.438"
"12","7","18","11","57","21.6","9.7","59.165","21.703","76574.883","69035.789"
"12","7","19","0","2","18.2","6.7","1.956","17.216","2613.244","0"
"12","7","20","0","0","17.6","6.2","0","17.6","0","0"
"12","7","21","0","0","15.6","5.1","0","15.6","0","0"
"12","7","22","0","0","14","4.5","0","14","0","0"
"12","7","23","0","0","12.1","3.2","0","12.1","0","0"
"12","8","0","0","0","11","3.3","0","11","0","0"
"12","8","1","0","0","11.4","3.6","0","11.4","0","0"
"12","8","2","0","0","10.4","4.1","0","10.4","0","0"
"12","8","3","0","0","10.7","4.4","0","10.7","0","0"
"12","8","4","1","1","10.3","4.1","0","10.3","0","0"
"12","8","5","2","43","11.9","4.3","45.248","11.34","61886.031","54336.863"
"12","8","6","8","136","12.5","3.8","138.892","14.137","187593.188","179949.938"
"12","8","7","19","249","13.3","3.1","255.775","18.118","339565.625","331263.594"
"12","8","8","28","357","13.8","2.6","368.81","22.078","481329.969","471875.625"
"12","8","9","32","443","14.3","2","458.099","26.031","587285.125","576630.5"
"12","8","10","30","503","15.1","2.1","516.963","28.454","655350.938","643772.313"
"12","8","11","27","532","15.6","1.7","543.642","30.727","681746.5","669777.25"
"12","8","12","28","532","16.3","2","544.798","30.824","682883.125","670896.75"
"12","8","13","31","502","17","2.6","517.672","29.714","652331.125","640796.063"
"12","8","14","33","442","17.3","3","459.218","27.986","583379.438","572774.188"
"12","8","15","30","355","17.4","3.5","369.409","25.373","474913","465522.031"
"12","8","16","20","248","17.1","3.6","255.575","22.225","333159.031","324896.844"
"12","8","17","9","135","16.3","3.9","137.053","18.39","181662.766","174033.125"
"12","8","18","3","43","15.2","3.7","42.903","14.901","57676.656","50123.574"
"12","8","19","1","1","12.9","2.6","1.113","11.187","1444.475","0"
"12","8","20","0","0","12","2.6","0","12","0","0"
"12","8","21","0","0","10.4","1.9","0","10.4","0","0"
