"PVWatts: Hourly PV Performance Data"
"Requested Location:","73-987 Makako Bay Dr, Kailua-Kona"
"Location:","Lat, Lon: 19.73, -156.06"
"Lat (deg N):","19.73"
"Long (deg W):","156.06"
"Elev (m):","0"
"DC System Size (kW):","350"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.425"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","14","16","661","67","22","4","404.706","30.711","112775.188","110564.531"
"1","14","17","361","35","22","4","142.387","24.575","36548.656","34779.48"
"1","14","18","0","0","22","4","0","22","0","0"
"1","14","19","0","0","22","4","0","22","0","0"
"1","14","20","0","0","22","4","0","22","0","0"
"1","14","21","0","0","22","4","0","22","0","0"
"1","14","22","0","0","22","4","0","22","0","0"
"1","14","23","0","0","22","3","0","22","0","0"
"1","15","0","0","0","22","3","0","22","0","0"
"1","15","1","0","0","22","2","0","22","0","0"
"1","15","2","0","0","21","2","0","21","0","0"
"1","15","3","0","0","21","2","0","21","0","0"
"1","15","4","0","0","21","2","0","21","0","0"
"1","15","5","0","0","21","2","0","21","0","0"
"1","15","6","0","0","21","1","0","21","0","0"
"1","15","7","366","25","21","1","126.048","22.896","31588.74","29825.998"
"1","15","8","159","123","22","1","205.212","27.091","59563.59","57728.906"
"1","15","9","242","212","22","1","392.344","33.26","112540.328","110332.023"
"1","15","10","891","73","22","2","804.966","42.512","221199.141","217252.328"
"1","15","11","877","101","23","2","910.297","47.253","244852.594","240354.109"
"1","15","12","888","103","23","3","954.34","45.774","258840.641","253986.766"
"1","15","13","555","255","22","3","798.946","41.442","221546.078","217591.641"
"1","15","14","826","104","22","2","806.299","43.729","220388.25","216459.266"
"1","15","15","760","92","22","2","627.075","39.287","173629.438","170604.594"
"1","15","16","628","74","21","2","397.723","31.899","110418.125","108230.758"
"1","15","17","322","38","21","2","135.793","24.236","35321.32","33553.988"
"1","15","18","0","0","21","2","0","21","0","0"
"1","15","19","0","0","20","2","0","20","0","0"
"1","15","20","0","0","20","2","0","20","0","0"
"1","15","21","0","0","20","2","0","20","0","0"
"1","15","22","0","0","20","1","0","20","0","0"
"1","15","23","0","0","20","1","0","20","0","0"
"1","16","0","0","0","20","0","0","20","0","0"
"1","16","1","0","0","19","0","0","19","0","0"
